Chidamber-Kemerer metrics,jeu., 20 oct. 2022 17:15:06 HAE
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jfree.chart.internal.CloneUtilsTest,1,1,2,0,11,2
org.jfree.chart.internal.HashUtils,55,1,2,0,19,19
org.jfree.chart.internal.HashUtilsTest,1,1,1,0,4,1
org.jfree.chart.internal.LineUtils,6,1,2,0,15,15
org.jfree.chart.internal.LineUtilsTest,1,1,1,0,15,7
org.jfree.chart.internal.PaintUtils,69,1,3,0,45,20
org.jfree.chart.internal.SerialUtils,96,1,10,0,99,71
org.jfree.chart.internal.SerialUtilsTest,4,1,2,0,14,2
org.jfree.chart.internal.SerialUtilsTest.ObjectWithMapOfPaint,2,1,1,0,8,4
org.jfree.chart.internal.SerialUtilsTest.ObjectWithMapOfStroke,2,1,1,0,8,4
org.jfree.chart.internal.ShapeUtils,31,1,16,0,72,46
org.jfree.chart.internal.ShapeUtilsTest,2,1,5,0,22,5
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,13,1,3,2,31,24
org.jfree.chart.labels.AbstractPieItemLabelGenerator,9,1,1,2,23,20
org.jfree.chart.labels.AbstractXYItemLabelGenerator,12,1,1,5,36,31
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,10,3,1,0,17,7
org.jfree.chart.labels.BoxAndWhiskerToolTipGeneratorTest,5,1,5,0,18,5
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,8,3,1,0,24,8
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGeneratorTest,4,1,5,0,19,5
org.jfree.chart.labels.BubbleXYItemLabelGenerator,9,2,1,0,31,19
org.jfree.chart.labels.BubbleXYItemLabelGeneratorTest,6,1,6,0,25,6
org.jfree.chart.labels.CategoryItemLabelGenerator,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.labels.CategorySeriesLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CategoryToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CrosshairLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CustomXYItemLabelGeneratorTest,4,1,3,0,14,3
org.jfree.chart.labels.CustomXYToolTipGenerator,4,1,1,0,16,18
org.jfree.chart.labels.FlowLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.HighLowItemLabelGenerator,10,1,2,0,31,21
org.jfree.chart.labels.HighLowItemLabelGeneratorTest,4,1,5,0,20,5
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,10,3,1,0,16,9
org.jfree.chart.labels.IntervalCategoryItemLabelGeneratorTest,5,1,5,0,21,5
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,8,3,1,0,20,13
org.jfree.chart.labels.IntervalCategoryToolTipGeneratorTest,5,1,6,0,24,6
org.jfree.chart.labels.IntervalXYItemLabelGenerator,7,2,2,0,39,21
org.jfree.chart.labels.IntervalXYToolTipGenerator,6,2,2,0,39,21
org.jfree.chart.labels.ItemLabelAnchor,10,n/a,2,n/a,2,0
org.jfree.chart.labels.ItemLabelAnchorTest,2,1,1,0,6,2
org.jfree.chart.labels.ItemLabelPosition,18,1,4,0,13,15
org.jfree.chart.labels.ItemLabelPositionTest,2,1,2,0,5,2
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,7,1,1,0,30,19
org.jfree.chart.labels.MultipleXYSeriesLabelGeneratorTest,4,1,5,0,18,5
org.jfree.chart.labels.PieSectionLabelGenerator,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.labels.PieToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,12,2,1,1,13,9
org.jfree.chart.labels.StandardCategoryItemLabelGeneratorTest,6,1,7,0,30,7
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,9,1,1,0,14,10
org.jfree.chart.labels.StandardCategorySeriesLabelGeneratorTest,5,1,6,0,22,6
org.jfree.chart.labels.StandardCategoryToolTipGenerator,21,2,1,2,11,8
org.jfree.chart.labels.StandardCategoryToolTipGeneratorTest,5,1,6,0,23,6
org.jfree.chart.labels.StandardCrosshairLabelGenerator,4,1,1,0,16,11
org.jfree.chart.labels.StandardFlowLabelGenerator,7,1,1,0,16,7
org.jfree.chart.labels.StandardFlowLabelGeneratorTest,2,1,2,0,5,2
org.jfree.chart.labels.StandardPieSectionLabelGenerator,9,2,2,0,28,15
org.jfree.chart.labels.StandardPieSectionLabelGeneratorTest,4,1,5,0,21,5
org.jfree.chart.labels.StandardPieToolTipGenerator,7,2,1,0,13,7
org.jfree.chart.labels.StandardPieToolTipGeneratorTest,5,1,5,0,21,5
org.jfree.chart.labels.StandardXYItemLabelGenerator,7,2,1,0,19,12
org.jfree.chart.labels.StandardXYItemLabelGeneratorTest,5,1,5,0,27,5
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,10,1,1,0,14,10
org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest,6,1,6,0,22,6
org.jfree.chart.labels.StandardXYToolTipGenerator,19,2,2,2,20,12
org.jfree.chart.labels.StandardXYToolTipGeneratorTest,4,1,5,0,20,5
org.jfree.chart.labels.StandardXYZToolTipGenerator,9,3,1,0,30,18
org.jfree.chart.labels.StandardXYZToolTipGeneratorTest,4,1,5,0,20,5
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,11,1,2,0,18,12
org.jfree.chart.labels.SymbolicXYItemLabelGeneratorTest,4,1,5,0,14,5
org.jfree.chart.labels.XYItemLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.XYSeriesLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.XYToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.XYZToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.legend.LegendGraphic,16,2,1,0,87,77
org.jfree.chart.legend.LegendGraphicTest,6,1,1,0,40,5
org.jfree.chart.legend.LegendItem,62,1,24,0,89,87
org.jfree.chart.legend.LegendItemBlockContainer,10,3,2,0,22,11
org.jfree.chart.legend.LegendItemCollection,30,1,1,0,19,12
org.jfree.chart.legend.LegendItemSource,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.legend.LegendRenderingOrder,0,n/a,2,n/a,2,0
org.jfree.chart.legend.LegendTitle,38,3,2,0,124,64
org.jfree.chart.legend.LegendTitleTest,9,1,3,0,27,4
org.jfree.chart.legend.PaintScaleLegend,25,3,1,0,101,70
org.jfree.chart.legend.PaintScaleLegendTest,8,1,4,0,30,4
org.jfree.chart.plot.CategoryCrosshairState,5,2,1,0,15,13
org.jfree.chart.plot.CategoryMarker,10,2,2,0,18,15
org.jfree.chart.plot.CategoryMarkerTest,6,1,2,0,27,6
org.jfree.chart.plot.CategoryPlot,113,2,13,2,451,597
org.jfree.chart.plot.CategoryPlotTest,40,1,26,0,186,37
org.jfree.chart.plot.CenterTextMode,2,n/a,2,n/a,2,0
org.jfree.chart.plot.CombinedDomainCategoryPlot,21,3,3,0,117,72
org.jfree.chart.plot.CombinedDomainCategoryPlotTest,16,1,2,0,51,9
org.jfree.chart.plot.CombinedDomainXYPlot,25,3,3,0,122,86
org.jfree.chart.plot.CombinedDomainXYPlotTest,16,1,3,0,58,10
org.jfree.chart.plot.CombinedRangeCategoryPlot,22,3,2,0,102,62
org.jfree.chart.plot.CombinedRangeCategoryPlotTest,15,1,2,0,49,9
org.jfree.chart.plot.CombinedRangeXYPlot,23,3,3,0,118,79
org.jfree.chart.plot.CombinedRangeXYPlotTest,16,1,2,0,55,9
org.jfree.chart.plot.Crosshair,11,1,1,0,67,57
org.jfree.chart.plot.CrosshairState,35,1,1,2,22,27
org.jfree.chart.plot.CrosshairTest,5,1,3,0,37,5
